t,x,y,z,ex,ey,ez,eox,eoy,eoz,force_on,wall_contact,tau1,tau2,tau3,tau4,tau5,tau6,tau7
2.1299999999998764,0.5537218426881924,0.00010388634649750984,0.6265826690818811,-0.0007776353435429151,0.00010388634649750984,0.0020802395942917107,-0.0003959475617662017,0.07097786697218161,0.00035571389533416365,0.0,0.0,-0.017933394690423862,-25.661142136911142,0.008985029436561806,18.28283126043712,0.745826310329315,1.7764352750445864,-0.004409435777323578
2.1309999999998763,0.5537139231709252,0.0001035959169951517,0.6265728015351294,-0.0007855548608101115,0.0001035959169951517,0.0020703720475400145,-0.0003960646753631764,0.07083535359449632,0.00035505652291636025,0.0,0.0,-0.017864519723366352,-25.659009771516413,0.008961237841685534,18.28351930331269,0.745811057390862,1.7760247558812294,-0.0044023639546660765
2.131999999999876,0.553706090512013,0.00010330553916912177,0.6265629945541199,-0.000793387519722244,0.00010330553916912177,0.0020605650665305175,-0.0003961777828163623,0.07069309153602701,0.0003544000003306554,0.0,0.0,-0.017795786454260824,-25.656895447446125,0.008937759606648644,18.284204553694337,0.7457958136928978,1.7756155282419404,-0.004395310949665441
2.132999999999876,0.5536983444147816,0.00010301521873757683,0.6265532477899121,-0.0008011336169536643,0.00010301521873757683,0.0020508183023226767,-0.00039628690143199186,0.07055108078143807,0.00035374432675605924,0.0,0.0,-0.017727194412962097,-25.654799113207314,0.008914593673729269,18.28488704024161,0.7457805801813318,1.7752075899501503,-0.00438827672636475
2.133999999999876,0.5536906845819939,0.00010272496133578553,0.6265435608947497,-0.0008087934497413851,0.00010272496133578553,0.002041131407160335,-0.0003963920485457959,0.07040932131249829,0.00035308950137973114,0.0,0.0,-0.01765874312962088,-25.6527207168917,0.008891738984832538,18.285566791296965,0.745765357789786,1.7748009388086117,-0.00438126124749029
2.134999999999876,0.5536831107158624,0.00010243477251631662,0.6265339335220678,-0.0008163673158728679,0.00010243477251631662,0.002031504034478382,-0.0003964932415196914,0.07026781310809277,0.0003524355233882054,0.0,0.0,-0.017590432134482907,-25.65066020618083,0.0088691944817906,18.28624383488777,0.7457501474396542,1.7743955725996021,-0.004374264474654352
2.1359999999998758,0.5536756225180538,0.00010214465774986983,0.626524365326503,-0.0008238555136814707,0.00010214465774986983,0.0020219358389136355,-0.0003965904977404942,0.07012655614423778,0.00035178239197427815,0.0,0.0,-0.017522260958154547,-25.64861752834922,0.008846959106097285,18.286918198727108,0.7457349500401436,1.773991489085349,-0.00436728636821887
2.1369999999998757,0.5536682196896969,0.00010185462242674021,0.6265148559639001,-0.0008312583420383435,0.00010185462242674021,0.0020124264763107247,-0.00039668383461788473,0.06998555039409038,0.0003511301063337857,0.0,0.0,-0.017454229131781553,-25.64659263026894,0.008825031798756842,18.287589910215683,0.7457197664882954,1.7735886860083416,-0.004360326887388842
2.1379999999998756,0.5536609019313916,0.00010156467185703017,0.626505405091319,-0.0008385761003436576,0.00010156467185703017,0.00200297560372964,-0.000396773269586304,0.06984479582796402,0.00035047866566715935,0.0,0.0,-0.017386336187061584,-25.64458545841411,0.008803411500334066,18.288258996443403,0.7457045976691271,1.7731871610917387,-0.004353385990198551
2.1389999999998754,0.5536536689432161,0.00010127481127182281,0.6264960123670444,-0.0008458090885191671,0.00010127481127182281,0.001993582879455058,-0.0003968588201003809,0.06970429241333954,0.00034982806917753783,0.0,0.0,-0.017318581656401474,-25.64259595886455,0.008782097150810141,18.288925484190578,0.7456894444556106,1.7727869120395536,-0.004346463633560054
