t,x,y,z,ex,ey,ez,eox,eoy,eoz,tau1,tau2,tau3,tau4,tau5,tau6,tau7,ax,ay,az
4.899999999999971,0.43831097008241404,0.2909282860947042,0.4312346649863163,0.0038114920506787664,-0.009071713905295764,0.006732235498726924,-0.04513906611390557,0.016275581731110714,-0.03694303257144321,0.00012388851059262005,-21.920097364510298,-0.4518646730103828,18.69310081535244,-0.07747752911267838,0.9885922702533215,-0.04619218752476119,-0.00019433753012482657,0.00013369037457628004,0.0002896803110662585
4.900999999999971,0.4383075079415583,0.2909365807628531,0.43122851426531766,0.003808029909823041,-0.009063419237146875,0.006726084777728292,-0.04509819264103749,0.01626113678521577,-0.036908937327096276,0.0001234729770106956,-21.920403756152215,-0.4518015392107011,18.69301099975657,-0.0775711092520794,0.9885132604964739,-0.04613124713682669,-0.00019397504989546337,0.00013345095723750158,0.0002891551222577344
4.901999999999972,0.4383040488968825,0.29094486783916157,0.43122236916177026,0.0038045708651472387,-0.00905513216083842,0.006719939674180886,-0.04505735552953315,0.01624670430418772,-0.03687487353193687,0.00012305758183847718,-21.920709871824673,-0.4517384635617036,18.69292125992835,-0.07766459974615625,0.9884343239164898,-0.04607035947483931,-0.0001936132436218978,0.00013321195568086766,0.00028863087181356525
4.902999999999972,0.43830059294553264,0.2909531473305115,0.4312162296706168,0.0038011149137973654,-0.009046852669488514,0.0067138001830274185,-0.04501655474844207,0.01623228427774932,-0.036840841157376396,0.00012264232643165954,-21.921015711758866,-0.45167544601154597,18.692831595816948,-0.07775800068311892,0.9883554604458761,-0.04600952449801757,-0.00019325211007804546,0.00013297336929854074,0.00028810755814680087
4.903999999999972,0.438297140084658,0.2909614192437786,0.43121009578680186,0.003797662052922701,-0.009038580756221382,0.006707666299212489,-0.0449757902668378,0.016217876695632506,-0.03680684017485132,0.00012222721218020657,-21.9213212761865,-0.4516124865083624,18.69274200737197,-0.07785131215107091,0.9882766700172478,-0.04594874216561812,-0.00019289164803997367,0.0001327351974830403,0.000287585179672847
4.904999999999973,0.43829369031141313,0.290969683585834,0.43120396750527606,0.0037942122796778555,-0.009030316414165962,0.006701538017686692,-0.04493506205381534,0.016203481547575827,-0.0367728705558225,0.00012181224049673787,-21.921626565339,-0.4515495850002601,18.692652494542408,-0.07794453423807854,0.9881979525631769,-0.045888012436878386,-0.00019253185628589252,0.00013249743962724615,0.0002870637348094685
4.905999999999973,0.43829024362295604,0.290977940363543,0.4311978448209911,0.0037907655912207683,-0.00902205963645697,0.006695415333401733,-0.04489437007849715,0.016189098823327287,-0.03673893227177518,0.00012139741274288637,-21.921931579448543,-0.4514867414354642,18.692563057277873,-0.07803766703203074,0.9881193080164037,-0.04582733527108762,-0.00019217273359615713,0.00013226009512439543,0.0002865432219767757
4.906999999999973,0.4382868000164497,0.29098618958376554,0.4311917277289044,0.0037873219847144313,-0.009013810416234447,0.006689298241315034,-0.04485371431002486,0.016174728512641772,-0.03670502529421972,0.00012098273040791276,-21.922236318747085,-0.4514239557620292,18.69247369552749,-0.07813071062084043,0.9880407363096235,-0.045766710627543075,-0.00019181427875325757,0.00013202316336808522,0.000286023639597232
4.907999999999974,0.4382833594890601,0.29099443125335606,0.43118561622397633,0.0037838814573248336,-0.009005568746643933,0.006683186736386959,-0.04481309471756644,0.016160370605282894,-0.0366711495946893,0.00012056819483782699,-21.922540783466832,-0.45136122792820976,18.69238440924058,-0.07822366509224213,0.9879622373756544,-0.04570613846554246,-0.00019145649054181773,0.0001317866437522709,0.00028550498609563886
4.908999999999974,0.4382799220379585,0.29100266537916336,0.4311795103011704,0.003780444006223238,-0.008997334620836628,0.006677080813581038,-0.04477251127031225,0.01614602509102188,-0.03663730514474339,0.00012015380758979518,-21.922844973840377,-0.45129855788204765,18.692295198366498,-0.07831653053393235,0.9878838111473224,-0.04564561874443257,-0.00019109936774859234,0.00013155053567126838,0.00028498725989914013
4.909999999999974,0.43827648766032,0.29101089196803176,0.43117340995545467,0.0037770096285847377,-0.00898910803196823,0.006670980467865295,-0.044731963937475465,0.01613169195963793,-0.03660349191596429,0.00011973956999318251,-21.923148890100276,-0.4512359455718297,18.692206062854428,-0.07840930703352392,0.987805457557547,-0.04558515142353299,-0.00019074290916246437,0.00013131483851975038,0.00028447045943721705
4.910999999999975,0.43827305635332264,0.29101911102679867,0.43116731518180057,0.0037735783215873675,-0.008980888973201318,0.006664885694211198,-0.04469145268829378,0.0161173712009188,-0.036569709879959285,0.00011932548352727414,-21.92345253247925,-0.4511733909457137,18.692117002653656,-0.07850199467852344,0.9877271765393032,-0.04552473646221589,-0.00019038711357443147,0.00013107955169275323,0.00028395458314167807
4.911999999999975,0.4382696281141508,0.2910273225622975,0.43116122597518286,0.0037701500824155465,-0.00897267743770247,0.006658796487593488,-0.04465097749202767,0.016103062804660173,-0.036535959008359986,0.00011891154969329175,-21.92375590121046,-0.451110893951845,18.69202801771346,-0.07859459355636858,0.9876489680255934,-0.045464373819868856,-0.000190031979777613,0.0001308446745856722,0.0002834396294466632
4.912999999999975,0.43826620293999097,0.29103552658135534,0.4311551423305807,0.003766724908255692,-0.008964473418644647,0.0066527128429913485,-0.04461053831796077,0.01608876676066436,-0.036502239272822014,0.00011849776991589893,-21.92405899652686,-0.45104845453847087,18.69193910798301,-0.07868710375440474,0.9875708319494849,-0.045404063455866256,-0.00018967750656723938,0.00013061020659426188,0.00028292559678863387
4.913999999999976,0.4382627808280348,0.2910437230907942,0.43114906424297644,0.0037633027962995502,-0.008956276909205807,0.006646634755387071,-0.04457013513540068,0.016074483058743632,-0.0364685506450267,0.0001180841457280541,-21.924361818661847,-0.45098607265373397,18.691850273411564,-0.0787795253598968,0.9874927682440914,-0.045343805329645964,-0.00018932369274065139,0.00013037614711464103,0.0002824124836063746
4.914999999999976,0.43825936177547803,0.29105191209743064,0.4311429917073556,0.0037598837437427535,-0.008948087902569346,0.006640562219766222,-0.0445297679136774,0.016060211688716804,-0.03643489309667703,0.00011767067858978547,-21.924664367849008,-0.45092374824587284,18.691761513948418,-0.07887185846000688,0.9874147768426287,-0.04528359940061023,-0.00018897053709729785,0.0001301424955432853,0.0002819002883409854
4.915999999999976,0.43825594577951943,0.2910600936080758,0.43113692471870846,0.0037564677477841535,-0.008939906391924213,0.006634495231119086,-0.04448943662214609,0.016045952640412,-0.03640126659950332,0.00011725736997204579,-21.924966644321906,-0.450861481263149,18.691672829542753,-0.07896410314184624,0.9873368576783238,-0.04522344562825156,-0.00018861803843872414,0.0001299092512770351,0.00028138900943587987
4.916999999999977,0.43825253283736404,0.29106826762953547,0.43113086327202904,0.003753054805628764,-0.008931732370464518,0.006628433784439669,-0.044449141230182905,0.01603170590366368,-0.03636767112525727,0.00011684422147677931,-21.92526864831429,-0.4507992716536635,18.691584220143582,-0.07905625949241457,0.9872590106844219,-0.04516334397198958,-0.00018826619556857428,0.00012967641371309282,0.00028087864533678003
